input_postcode,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
G1 1DT,M358200034,STORE,3RD FLOOR34 MILLER STREETGLASGOWG1 1DT,HIH INVEST REAL ESTATE UK LTD,,"£46,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200034&PPRN=47449977&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0101,OFFICE,FLAT 1-142 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£3,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0101&PPRN=47154594&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0102,OFFICE,FLAT 1-242 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£2,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0102&PPRN=47322241&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0103,OFFICE,FLAT 1-342 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£2,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0103&PPRN=47322268&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0104,OFFICE,FLAT 1-442 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£1,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0104&PPRN=47322276&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0201,OFFICE,FLAT 2-142 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£2,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0201&PPRN=47154608&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0202,OFFICE,FLAT 2-242 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,CITY CHIC,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0202&PPRN=47322284&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0B01,OFFICE,FLAT BASEMENT-142 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,STRATHCLYDE BUILDING PRESERVATION TRUST,"£1,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0B01&PPRN=47322217&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0B02,OFFICE,FLAT BASEMENT-242 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,ARRIVO CONSULTING,"£1,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0B02&PPRN=47322225&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
G1 1DT,M358200042 F0B03,OFFICE,FLAT BASEMENT-342 MILLER STREETGLASGOWG1 1DT,THE SCOTTISH CIVIC TRUST,,"£1,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=G1+1DT&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M358200042+F0B03&PPRN=47322233&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=G1+1DT&searchtype=listing#results
